股票代码,股票简称,现价(元),涨跌幅(%),解禁股类型2020.01.01-2020.12.31,解禁日期2020.01.01-2020.12.31,总解禁股数(股)2020.01.01-2020.12.31,总解禁金额(元)2020.01.01-2020.12.31,解禁成本(元)2020.01.01-2020.12.31
002265.SZ,西仪股份,9.07,2.95,定向增发机构配售股份,20200306,1175742.00,10616950.26,15.88
002268.SZ,卫士通,21.90,0.78,定向增发机构配售股份,20200323,27164689.00,648149479.54,18.32
002281.SZ,光迅科技,33.13,-0.36,定向增发机构配售股份,20200427,22922533.00,679882328.78,28.21
002282.SZ,博深股份,11.25,-2.26,定向增发机构配售股份,20200605,30881909.00,252614015.62,11.96
002291.SZ,星期六,18.18,1.00,定向增发机构配售股份,20200427,137081265.00,2407147013.40,5.00
002299.SZ,圣农发展,26.80,1.90,定向增发机构配售股份,20201106,--,--,14.26
002301.SZ,齐心集团,16.20,1.89,定向增发机构配售股份,20201022,--,--,10.32
002302.SZ,西部建设,11.25,1.08,定向增发机构配售股份,20201228,--,--,8.62
002307.SZ,北新路桥,6.87,0.44,定向增发机构配售股份,20201201,--,--,7.71
002313.SZ,日海智能,16.93,-0.06,定向增发机构配售股份,20201228,--,--,18.60
002320.SZ,海峡股份,11.52,1.41,定向增发机构配售股份,20200330,153087090.00,2418776022.00,6.50
002324.SZ,普利特,14.77,1.30,定向增发机构配售股份,20201211,--,--,7.36
002340.SZ,格林美,5.50,0.37,定向增发机构配售股份,20201123,--,--,3.79
002341.SZ,新纶科技,5.20,0.19,定向增发机构配售股份,20200610,9529501.00,48505160.09,9.97
002341.SZ,新纶科技,5.20,0.19,定向增发机构配售股份,20200729,56178442.00,301116449.12,6.89
002343.SZ,慈文传媒,9.12,1.90,定向增发机构配售股份,20201215,--,--,4.96
002345.SZ,潮宏基,3.74,1.63,定向增发机构配售股份,20200720,12060300.00,44020095.00,9.47
002359.SZ,*ST北讯,--,--,定向增发机构配售股份,20200601,123044776.00,156266865.52,13.29
002369.SZ,卓翼科技,9.06,4.26,定向增发机构配售股份,20200317,96769204.00,1031559714.64,7.76
002373.SZ,千方科技,24.86,-0.16,定向增发机构配售股份,20200515,30970851.00,725337330.42,11.87
002377.SZ,国创高新,4.18,-0.24,定向增发机构配售股份,20201023,--,--,7.97
002382.SZ,蓝帆医疗,27.32,-2.18,定向增发机构配售股份,20200706,62997278.00,1884878557.76,10.65
002388.SZ,新亚制程,7.53,0.40,定向增发机构配售股份,20200710,71083300.00,582883060.00,5.74
002389.SZ,航天彩虹,23.18,2.12,定向增发机构配售股份,20200921,--,--,6.39
002396.SZ,星网锐捷,29.85,1.67,定向增发机构配售股份,20200824,22539963.00,691075265.58,17.25
002405.SZ,四维图新,16.38,-3.99,定向增发机构配售股份,20200324,324512622.00,5127299427.60,11.29
002409.SZ,雅克科技,56.92,0.42,定向增发机构配售股份,20200106,5146298.00,128451598.08,11.54
002410.SZ,广联达,73.63,3.41,定向增发机构配售股份,20201222,--,--,50.48
002413.SZ,雷科防务,9.44,2.72,定向增发机构配售股份,20200807,13073846.00,147734459.80,11.13
002426.SZ,*ST胜利,1.92,-0.52,定向增发机构配售股份,20200910,--,--,3.55
002430.SZ,杭氧股份,22.15,1.98,定向增发机构配售股份,20200814,13283333.00,240826827.29,6.98
002434.SZ,万里扬,9.31,-0.32,定向增发机构配售股份,20201228,--,--,9.14
002439.SZ,启明星辰,38.60,-0.34,定向增发机构配售股份,20200120,27750313.00,1107237488.70,19.85
002439.SZ,启明星辰,38.60,-0.34,定向增发机构配售股份,20200525,2377051.00,92728759.51,9.64
002461.SZ,珠江啤酒,11.50,4.07,定向增发机构配售股份,20200312,853004944.00,5331280900.00,4.91
002465.SZ,海格通信,13.27,1.30,定向增发机构配售股份,20200706,67776458.00,916337712.16,10.06
002478.SZ,常宝股份,5.19,1.17,定向增发机构配售股份,20201120,--,--,4.96
002488.SZ,金固股份,6.55,-1.50,定向增发机构配售股份,20200427,54446460.00,335934658.20,10.86
002502.SZ,*ST鼎龙,3.03,0.67,定向增发机构配售股份,20200109,23379265.00,78320537.75,7.52
002526.SZ,山东矿机,2.69,0.37,定向增发机构配售股份,20200103,63121338.00,145810290.78,2.25
002540.SZ,亚太科技,5.18,1.77,定向增发机构配售股份,20201123,--,--,5.64
