code,date_free
600295.SH,20201130
600318.SH,20200601
600328.SH,20201026
600333.SH,20200713
600337.SH,20200914
600339.SH,20200103
600378.SH,20201009
600387.SH,20201130
600390.SH,20200120
600392.SH,20200224
600392.SH,20200413
600406.SH,20201228
600409.SH,20200619
600420.SH,20200309
600429.SH,20200206
600448.SH,20201130
600461.SH,20201116
600475.SH,20200805
600478.SH,20200407
600487.SH,20200728
600488.SH,20200825
600490.SH,20200303
600490.SH,20200422
600497.SH,20201130
600498.SH,20200928
600499.SH,20201130
600502.SH,20200703
600502.SH,20200803
600509.SH,20201109
600511.SH,20200608
600517.SH,20201116
600521.SH,20200910
600527.SH,20201110
600528.SH,20200713
600545.SH,20200907
600547.SH,20200515
600547.SH,20201020
600557.SH,20200520
600559.SH,20200213
600559.SH,20200403
600576.SH,20200107
600578.SH,20200224
600584.SH,20200619
600602.SH,20200914
600603.SH,20200427
600621.SH,20200506
600621.SH,20200515
600629.SH,20200303
600640.SH,20200309
600645.SH,20200727
600649.SH,20200408
600654.SH,20201231
600661.SH,20200623
600667.SH,20200120
600681.SH,20201123
600682.SH,20200212
600682.SH,20200710
600704.SH,20201111
600707.SH,20201013
600710.SH,20200514
600711.SH,20200520
600711.SH,20200702
600715.SH,20200629
600715.SH,20200821
600721.SH,20200203
600721.SH,20200928
600733.SH,20200203
600737.SH,20200414
600738.SH,20200518
600740.SH,20200203
600745.SH,20201102
600745.SH,20201221
600758.SH,20200110
600760.SH,20201214
600760.SH,20201221
600764.SH,20201019
600764.SH,20201218
600765.SH,20201217
600793.SH,20200518
600797.SH,20200914
600828.SH,20200814
600848.SH,20200106
600848.SH,20200210
600848.SH,20200716
600848.SH,20201202
600855.SH,20201224
600866.SH,20200217
600866.SH,20200320
600866.SH,20200427
600879.SH,20200421
600881.SH,20200622
600888.SH,20200706
600893.SH,20200928
600958.SH,20201228
600959.SH,20200629
600960.SH,20200615
600963.SH,20200519
600967.SH,20200210
600981.SH,20201117
600984.SH,20201023
600985.SH,20200311
600985.SH,20200424
600986.SH,20200428
600990.SH,20200525
600990.SH,20201125
600997.SH,20200210
600998.SH,20201127
601002.SH,20201030
601015.SH,20201027
601018.SH,20200219
601058.SH,20201123
601106.SH,20201026
601111.SH,20200310
601166.SH,20200407
601169.SH,20201228
601212.SH,20200413
601212.SH,20200622
601238.SH,20201116
601360.SH,20200227
601360.SH,20200309
601360.SH,20200511
601368.SH,20200723
601390.SH,20200921
601500.SH,20200326
601600.SH,20200226
601619.SH,20201217
601689.SH,20200525
601717.SH,20200323
601727.SH,20200302
601727.SH,20201106
601766.SH,20200117
601899.SH,20200608
601900.SH,20201020
601919.SH,20200203
603025.SH,20200324
603025.SH,20201228
603083.SH,20201021
603111.SH,20201207
603131.SH,20200312
603131.SH,20200507
603131.SH,20200706
603131.SH,20201228
603168.SH,20200313
603169.SH,20200715
603183.SH,20201209
603186.SH,20201130
603225.SH,20201204
603283.SH,20200727
603283.SH,20201201
603305.SH,20201209
603308.SH,20201116
603363.SH,20201118
603386.SH,20200907
603429.SH,20200727
603558.SH,20200831
603559.SH,20200507
603595.SH,20201016
603603.SH,20200803
603606.SH,20201218
603608.SH,20200115
603608.SH,20200527
603609.SH,20200424
603611.SH,20200106
603611.SH,20200123
603690.SH,20200413
603690.SH,20200427
603690.SH,20200518
603779.SH,20201110
603799.SH,20201021
603838.SH,20201224
603859.SH,20200525
603887.SH,20200508
603887.SH,20201109
603919.SH,20200529
603936.SH,20200107
603936.SH,20200617
603955.SH,20201207
603959.SH,20201222
603960.SH,20201216
603986.SH,20200807
603986.SH,20201203
603997.SH,20201210
